user_name,salary,date
john,26556,24-05-2005
mary,213061,31-02-2020
james,174472,28--2012
linda,31390,13-13-2008
robert,247143,04-07-2007
patricia,238657,12-03-2013
michael,12,000,06-14-2014
jennifer,168682,18.5-2017
william,56262,28-13-1999
elizabeth,160763,25-05-2011
david,3591.68$,17-03-2022
susan,248201,21-05-2022
richard,60065,12-03-2024
jessica,159029,01-10-2010
joseph,49325,12-05-2005
sarah,N/A,25-09-1998
thomas,12,000,14-04-2024
karen,200844,07-12-2009
charles,196078,21-06-2018
nancy,138354,04-04-2004
chris,-2378,03-12-1993
lisa,28234,31-02-2020
daniel,-27941,
betty,244386,18-02-1993
matthew,161711,27-01-1995
margaret,242480,08-03-2016
anthony,76032,28-07-1993
sandra,20565,32-05-2019
mark,-32246,17-02-2001
ashley,12,000,08-10-1992
paul,129897,22-10-2023
kimberly,abc,yesterday
steven,111490,27/9/2009
emily,48058,00-00-0000
andrew,,24-08-2017
donna,49327,03-12-1999
kenneth,238784,12-10-1999
elizabeth,30965,10-06-1992
joshua,75070,22-04-1996
carol,abc,
kevin,234063,31-02-2020
amanda,241160,18-06-1991
brian,-18118,04-10-2017
melissa,N/A,09-13-2017
george,98727,17-05-2016
deborah,abc,07--2017
edward,104475,15-08-2018
stephanie,154001,16-12-2000
ronald,94392,17-11-2011
rebecca,,01-01-2005
timothy,180241,28-02-2019
laura,185089,19-04-2014
jason,83959,05-11-1990
sharon,245559,25-02-2017
jeffrey,230792,5/8/2023
cynthia,144433,15-05-2005
ryan,92695,25-09-2021
kathleen,91984,15-02-2008
jacob,108040,31-09-1995
amy,130138,24--2024
gary,147986,08-05-2017
shirley,121936,11-11-2015
nicholas,240333,15-03-2024
,123290,19-10-1991
eric,-29089,09-07-2010
helen,105680,31-07-2007
jonathan,84823,07-01-1999
anna,144141,31-02-2020
stephen,71990,03-10-2005
brenda,0,18-07-2013
larry, ,04-07-2013
pamela,237240,15-12-1999
justin,212360,17-11-2007
nicole,161078,25-08-2019
scott,211634,19-05-2010
emma,237771,03-05-2018
brandon,141820,yesterday
samantha,42442,08-12-2016
benjamin,218748,08-12-2020
katherine,148665,15-01-1995
samuel,126011,2012-12-15
christine,abc,20/5/1996
gregory,34293,21-14-1996
debra,125043,16-02-1993
alexander,232636,10--1993
rachel,46013,25-04-2003
patrick,41282,18-13-2000
catherine,89351,26-11-2002
frank,162753,08-11-1999
carolyn,236696,05-02-1993
raymond,100638,14--2010
janet,43940,
jack,143210,12-07-2011
ruth, ,yesterday
dennis,34209,07-09-2013
maria,150676,21-08-1993
jerry,163974,23-14-1997
heather,50793,21-03-2021
tyler,96509,17-12-2007
diane2,146484,16-04-2019
